STRUCTURE,STRUCTURE_ID,ACTION,FREQ_ID,FREQ_NAME,REF_AREA_ID,REF_AREA_NAME,INDICATOR_ID,INDICATOR_NAME,SEX_ID,SEX_NAME,AGE_ID,AGE_NAME,URBANISATION_ID,URBANISATION_NAME,UNIT_MEASURE_ID,UNIT_MEASURE_NAME,COMP_BREAKDOWN_1_ID,COMP_BREAKDOWN_1_NAME,COMP_BREAKDOWN_2_ID,COMP_BREAKDOWN_2_NAME,COMP_BREAKDOWN_3_ID,COMP_BREAKDOWN_3_NAME,TIME_PERIOD,OBS_VALUE,AGG_METHOD_ID,AGG_METHOD_NAME,DECIMALS_ID,DECIMALS_NAME,DATABASE_ID_ID,DATABASE_ID_NAME,COMMENT_TS,UNIT_MULT_ID,UNIT_MULT_NAME,DATA_SOURCE_ID,DATA_SOURCE_NAME,UNIT_TYPE_ID,UNIT_TYPE_NAME,TIME_FORMAT_ID,TIME_FORMAT_NAME,COMMENT_OBS,OBS_STATUS_ID,OBS_STATUS_NAME,OBS_CONF_ID,OBS_CONF_NAME
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,EAP,East Asia & Pacific (excluding high income),WB_WDI_DT_DOD_DECT_CD,"External debt stocks, total (DOD, current US$)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD,US dollars,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,7026035434.9,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"External debt stocks, total (DOD, current US$)",0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ECA,Europe & Central Asia (excluding high income),WB_WDI_DT_DOD_DECT_CD,"External debt stocks, total (DOD, current US$)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD,US dollars,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,5075880995.799999,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"External debt stocks, total (DOD, current US$)",0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,IDX,IDA only,WB_WDI_DT_DOD_DECT_CD,"External debt stocks, total (DOD, current US$)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD,US dollars,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,6414570257.000001,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"External debt stocks, total (DOD, current US$)",0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,LAC,Latin America & Caribbean (excluding high income),WB_WDI_DT_DOD_DECT_CD,"External debt stocks, total (DOD, current US$)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD,US dollars,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,28439522409.9,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"External debt stocks, total (DOD, current US$)",0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,LMY,Low & middle income,WB_WDI_DT_DOD_DECT_CD,"External debt stocks, total (DOD, current US$)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD,US dollars,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,64589271960.3,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"External debt stocks, total (DOD, current US$)",0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,LIC,Low income,WB_WDI_DT_DOD_DECT_CD,"External debt stocks, total (DOD, current US$)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD,US dollars,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,2742780162.400001,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"External debt stocks, total (DOD, current US$)",0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,LMC,Lower middle income,WB_WDI_DT_DOD_DECT_CD,"External debt stocks, total (DOD, current US$)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD,US dollars,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,23962848149.59999,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"External debt stocks, total (DOD, current US$)",0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,MNA,Middle East & North Africa (excluding high income),WB_WDI_DT_DOD_DECT_CD,"External debt stocks, total (DOD, current US$)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD,US dollars,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,4830260430.900001,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"External debt stocks, total (DOD, current US$)",0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,MIC,Middle income,WB_WDI_DT_DOD_DECT_CD,"External debt stocks, total (DOD, current US$)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD,US dollars,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,61846491797.89999,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"External debt stocks, total (DOD, current US$)",0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SAS,South Asia,WB_WDI_DT_DOD_DECT_CD,"External debt stocks, total (DOD, current US$)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD,US dollars,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,12306771948.6,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"External debt stocks, total (DOD, current US$)",0,Units,WB_WDI,World Development Indicators (WDI),CUR,Currency,P1Y,Annual,,A,Normal value,PU,Public
